edgar_cik,edgar_year,sec_id,sec_title,distance
1800,1993,df3f1a64c522f4983f8407d5203acc55,"SEC Brings Settled Charges Against Tyco International Ltd. Alleging Billion Dollar Accounting Fraud
See also: Litigation Release No. 19657",0.43443178280807115
1800,1993,205905c4d9a85a9c79c2168341855286,SEC Charges Former Qwest CEO Joseph Nacchio and Eight Others with Massive Financial Disclosure Fraud,0.4356112840742038
1800,1993,c09ee5721683dbd0c691e961585f7f74,"SEC Charges ConAgra Foods, Inc. in Financial Fraud and Accounting Case
See also: Litigation Release No. 20206",0.43652846733771034
1800,1993,44e60d1c8d9467ba7f1a077cca9b52a2,"Freddie Mac, Four Former Executives Settle SEC Action Relating to Multi-Billion Dollar Accounting Fraud
See also: Litigation Release No. 20304; Administrative Proceeding 33-8850",0.4372136904219236
1800,1993,a145fee70d224f197ae414be27f09beb,SEC Charges Four Public Companies With Longstanding ICFR Failures,0.4333511879758597
50104,1993,333aa1a84014907a69c073762db80824,SEC Charges Oil and Gas Company and Top Finance Executives with Accounting Fraud,0.3265552152638622
50104,1993,00ad26a94f741bcfc2f9dc172ac6477b,"SEC Files Settled Books and Records and Internal Controls Charges Against El Paso Corporation for Improper Payments to Iraq Under the U.N. Oil for Food Program
See also: Litigation Release No. 19991",0.31361553047126245
50104,1993,ead8a57b0bae94b917f5c239de1f0b24,"Doral Financial Settles Financial Fraud Charges with SEC and Agrees to Pay $25 Million Penalty
See also: Litigation Release 19837 and Complaint",0.324700653891453
50104,1993,644d81186e9ac9e69bf93c89a580c8c0,SEC Charges Two Companies and Their Principals with Misleading Investors in More Than a Dozen Oil and Gas Securities Offerings,0.32357502806491534
50104,1993,e22b3f32ce907a699c63408e1b3a1205,"El Paso Corp., Subsidiaries, and Former Employees Settle SEC Charges for Fraudulently Overstating Oil and Gas Reserves
See also: Litigation Release No. 20642",0.28981972395437683
315189,1993,ead8a57b0bae94b917f5c239de1f0b24,"Doral Financial Settles Financial Fraud Charges with SEC and Agrees to Pay $25 Million Penalty
See also: Litigation Release 19837 and Complaint",0.4607691624134833
315189,1993,b7e65a1605c5eeefc1e9b98e00dc28e1,SEC Charges Diebold and Former Executives With Accounting Fraud,0.46099473413240066
315189,1993,c09ee5721683dbd0c691e961585f7f74,"SEC Charges ConAgra Foods, Inc. in Financial Fraud and Accounting Case
See also: Litigation Release No. 20206",0.4433279040514312
315189,1993,a145fee70d224f197ae414be27f09beb,SEC Charges Four Public Companies With Longstanding ICFR Failures,0.45163555333846805
315189,1993,b662048faeb8dd0f3fc59ce2fcbb0f51,SEC Charges Stericycle with Bribery Schemes in Latin America,0.45543516194182576
1067983,2020,55f78bf10042846ac936f1564295e733,Twenty-Six Firms to Pay More Than $390 Million Combined to Settle SECâ€™s Charges for Widespread Recordkeeping Failures,0.3058912676880714
1067983,2020,69ef263fb0ce90e8aedc9a456ed0c02d,SEC Announces Charges Against Corporate Insiders for Violating Laws Requiring Prompt Reporting of Transactions and Holdings,0.29323483682598284
1067983,2020,be446936eed1798907d466e8eec95039,SEC Charges General Re Corporation for Role in AIG and Prudential Accounting Frauds,0.3076774328651961
1067983,2020,bffd0ae5fdfb5d316a2dc778d415b446,SEC Levies More Than $3.8 Million in Penalties in Sweep of Late Beneficial Ownership and Insider Transaction Reports,0.2937606134929702
1067983,2020,7fe4e612554df988fb6d4c4bf949b5bd,"SEC Charges Companies, Former Executives as Part of Risk-Based Initiative",0.3047379018014952
1137091,2020,b48bced8a5064f8b3d2771ea4da2723a,"Engine Manufacturing Company to Pay Penalty, Take Remedial Measures to Settle Charges of Accounting Fraud",0.24370135089953537
1137091,2020,d3d4f9f9816a0b689ffdd7e986da78fe,SEC Charges Chicago-Area Alternative Energy Company for Accounting and Disclosure Violations,0.2788155275128573
1137091,2020,69ef263fb0ce90e8aedc9a456ed0c02d,SEC Announces Charges Against Corporate Insiders for Violating Laws Requiring Prompt Reporting of Transactions and Holdings,0.2811964402535
1137091,2020,ba3104453273a4b4fc56a7c24dbb6a1a,SEC Charges Engine Manufacturing Company Executives With Accounting Fraud,0.2537090206380511
1137091,2020,b619514b44048b0ca825d8765b8653f0,SEC Charges Fortune 200 Company for Accounting Deficiencies,0.2898342083995511
